Year,GeoFIPS,Net_earnings_by_place_of_residence,Percapita_personal_income,Population,Wage_and_salary_employment,Earnings_per_job_avg,Personal_income,Total_employment
2015-01-01,06073,113807978,54801,3284061,1563959,63984,179970974,2030064
2015-01-01,27083,772024,47397,25837,15729,48820,1224588,19853
2015-01-01,38037,44635,37397,2397,714,30964,89641,1471
2015-01-01,19031,584952,49111,18308,5893,38415,899121,8857
2015-01-01,20009,756803,46285,27173,13633,41070,1257691,20335
2015-01-01,41071,2444120,40762,101449,36581,45097,4135284,49296
2015-01-01,48005,1913344,38050,87874,38414,46258,3343596,48715
2015-01-01,19135,179560,38660,7922,3714,45545,306267,5018
2015-01-01,17085,537790,44617,22077,8375,37488,985004,12337
2015-01-01,27141,2870363,42799,91416,27428,43170,3912557,37637
2015-01-01,48361,2264545,41777,83946,25267,50991,3507046,33186
2015-01-01,27073,184450,49806,6872,2504,39540,342265,4312
2015-01-01,17003,85003,30888,6761,1436,40806,208831,2016
2015-01-01,17057,680406,34347,35707,8966,36066,1226428,12490
2015-01-01,16061,83012,47187,3795,1765,35550,179074,2695
2015-01-01,09011,9167762,53686,269717,133518,60345,14480124,164673
2015-01-01,34000,364760555,61110,8870869,4061697,67536,542097272,5302982
2015-01-01,42009,1117727,38246,48735,16488,44275,1863939,22900
2015-01-01,55078,66079,29621,4525,2292,51718,134035,2453
2015-01-01,36005,26454001,33104,1440726,319014,51212,47693978,455502
2015-01-01,16041,296070,33976,12954,3747,31853,440124,6542
2015-01-01,37157,1717921,34117,91676,28023,38477,3127710,37030
2015-01-01,12117,12894734,43846,448246,188141,45618,19653923,247350
2015-01-01,28099,556703,33482,29463,13094,41959,986488,16251
2015-01-01,47127,148055,38883,6255,2121,49646,243214,2827
2015-01-01,12011,52072291,46097,1885443,825037,48244,86913646,1153684
2015-01-01,13015,2307460,35065,102079,36844,45261,3579397,48790
2015-01-01,31129,118911,47480,4316,1631,42854,204925,2574
2015-01-01,28105,904250,31286,49516,23545,37987,1549171,28769
2015-01-01,51907,2902790,40876,120070,50458,44833,4907996,64144
2015-01-01,18179,661827,38748,27847,11332,41836,1079003,14365
2015-01-01,47057,394397,30480,22844,4008,31865,696295,6992
2015-01-01,01073,19726866,48969,660370,370794,59359,32337589,454802
2015-01-01,13197,113583,26468,8556,1359,31322,226461,2350
2015-01-01,45069,382976,27306,27574,7587,43168,752946,9151
2015-01-01,51049,198108,35441,9746,1494,37758,345405,2282
2015-01-01,31147,216133,46097,8022,2895,40167,369787,4500
2015-01-01,29025,173640,32703,9009,1834,23122,294620,3766
2015-01-01,22079,3084007,42501,131801,62492,49273,5601633,76243
2015-01-01,48169,109375,30233,6418,1977,43298,194038,3052
2015-01-01,18175,597962,35157,27779,6432,38342,976640,9637
2015-01-01,22099,1334792,38031,53883,13879,44017,2049250,19759
2015-01-01,01099,320475,31178,21717,6796,38872,677095,9129
2015-01-01,33005,2216120,47897,76261,34437,47513,3652635,45335
2015-01-01,16067,477093,37155,20451,7839,46323,759848,10483
2015-01-01,29065,226933,30368,15620,4236,31356,474354,6332
2015-01-01,47115,582838,34582,28383,7821,39739,981539,10486
2015-01-01,28027,331340,31375,24509,8973,33754,768971,11639
2015-01-01,29129,65481,32041,3660,847,37635,117271,1783
2015-01-01,21229,229849,34532,12023,3677,34694,415180,5692
2015-01-01,08095,100080,41450,4329,1800,40680,179437,2877
2015-01-01,05087,317636,33350,15707,3616,35192,523825,6430
2015-01-01,21107,981497,37390,46077,18712,45811,1722842,23011
2015-01-01,38047,47008,48703,1929,749,37043,93948,1364
2015-01-01,39091,1113251,38442,45266,20405,47670,1740128,26210
2015-01-01,21223,177855,33209,8750,1157,29044,290576,2309
2015-01-01,21017,505907,41810,20182,7613,47003,843805,10294
2015-01-01,35019,61261,32800,4351,1628,29916,142712,2248
